# Time-averaged data for fix mNm2
# TimeStep v_ETens v_SZZ v_SXX v_Fx v_Fy v_Fz v_strain v_ETens v_diameter
20100 26.6618 108595 25147.6 -3.7444e-16 -1.01264e-18 1.23996e-16 -3.47383 26.6618 -18.999
20200 26.6651 108314 24785.5 -3.88817e-16 1.07499e-18 6.3209e-18 -3.47708 26.6651 -19.024
20300 26.6683 108034 24418.3 -3.87043e-16 1.27936e-19 -8.49364e-17 -3.48034 26.6683 -19.049
20400 26.6716 107756 24045.9 1.59603e-16 -2.63244e-18 -5.93796e-17 -3.48359 26.6716 -19.074
20500 26.6748 107481 23667.9 2.94252e-16 -1.34522e-18 -3.0735e-16 -3.48685 26.6748 -19.099
20600 26.6781 107209 23284.1 7.36008e-16 -2.80402e-18 9.42389e-18 -3.4901 26.6781 -19.124
20700 26.6813 106942 22894.4 8.69114e-16 -4.04136e-19 2.14976e-17 -3.49336 26.6813 -19.149
20800 26.6846 106679 22498.6 1.36174e-15 -1.68404e-18 -4.27241e-17 -3.49661 26.6846 -19.174
20900 26.6878 106422 22096.3 1.36597e-15 -3.33907e-18 -1.41087e-16 -3.49987 26.6878 -19.199
21000 26.6911 106171 21687.6 1.53197e-15 -2.85335e-18 -6.38465e-17 -3.50312 26.6911 -19.224
21100 26.6944 103544 -4788.82 5.41923e-16 -2.03559e-18 -1.82764e-16 -3.50309 26.6944 -19.2237
21200 26.6976 98859.6 -5483.78 -6.87744e-16 -3.53423e-18 -3.12029e-16 -3.49983 26.6976 -19.1987
21300 26.7009 94579.6 -6170.89 -7.33146e-16 3.66975e-18 -5.61187e-16 -3.49658 26.7009 -19.1737
21400 26.7041 90690.7 -6849.55 -5.89364e-16 -2.16054e-18 -3.39867e-16 -3.49332 26.7041 -19.1487
21500 26.7074 87175.5 -7519.34 -5.7883e-16 -4.53847e-18 -3.24601e-16 -3.49007 26.7074 -19.1237
21600 26.7106 84013.1 -8180.05 -5.83149e-16 6.46564e-18 -2.95714e-16 -3.48681 26.7106 -19.0987
21700 26.7139 81179.9 -8831.64 -4.37586e-16 6.07966e-19 -2.52656e-16 -3.48356 26.7139 -19.0737
21800 26.7171 78650.4 -9474.2 -2.01518e-16 5.83301e-19 -2.08084e-16 -3.4803 26.7171 -19.0487
21900 26.7204 76397.3 -10108 -1.12519e-16 3.36184e-18 -6.86777e-17 -3.47705 26.7204 -19.0237
22000 26.7236 74392.5 -10733.2 -2.21396e-16 3.2808e-18 3.51151e-17 -3.47379 26.7236 -18.9987
22100 26.7269 72604.8 -11334.1 2.19503e-16 -3.78116e-19 1.18358e-16 -3.47054 26.7269 -18.9737
22200 26.7302 70997.3 -11853.3 7.36492e-16 1.76251e-18 1.81723e-16 -3.46728 26.7302 -18.9487
22300 26.7334 69558.6 -12370.4 8.26121e-16 3.13768e-18 1.48848e-16 -3.46403 26.7334 -18.9237
22400 26.7367 68267.5 -12933.9 1.16154e-15 3.36794e-18 1.75736e-16 -3.46077 26.7367 -18.8987
22500 26.7399 67095.3 -13546.5 1.31757e-15 8.40799e-19 1.33871e-16 -3.45752 26.7399 -18.8737
22600 26.7432 66021.1 -14171.2 1.07058e-15 -2.55126e-18 1.41806e-16 -3.45426 26.7432 -18.8487
22700 26.7464 65022.6 -14788.4 8.88239e-16 2.9287e-19 2.04778e-16 -3.45101 26.7464 -18.8237
22800 26.7497 64079.3 -15391.7 9.50502e-16 -5.00901e-19 3.13934e-16 -3.44775 26.7497 -18.7987
